Descrição do Item,Unidade de Fornecimento,Quantidade Estimada*,Valor Unitário Estimado (R$)*,Valor Total Estimado (R$)*,Valor orçamentário estimado para o exercício (R$)*,Renovação Contrato*,Data Desejada*
Serviços de Lavagem e Higienização de Veículos,MES,12,"8333,33",100000,100000,2- Não,7/1/2026
Serviço de Despachante,UND,12,1250,15000,15000,2- Não,3/1/2026
"Serviços de locação de multifuncionais laser monocromático (copiadora, impressão, fax e scanner)",MES,12,62500,750000,750000,1-Sim,3/1/2026
"Serviços de assessoria técnica e consultoria para implantação da Rádio e TV Câmara, a fim de atender as necessidades da Câmara Municipal de Luís Eduardo Magalhães - BA.",MES,12,6250,75000,75000,1-Sim,5/1/2026
Reforma dos Prédios da Câmara Municipal de Luís Eduardo Magalhães - Ba. Contrato nº 059/2023 executado pela empresa PROJETAJ EMPREENDIMENTOS LTDA,UND,12,250000,3000000,3000000,1-Sim,1/1/2026
Engenheiro Civil para acompanhar e fiscalizar a execução do Contrato nº 059/2023 executado pela empresa PROJETAJ EMPREENDIMENTOS LTDA,MES,12,3750,45000,45000,1-Sim,6/1/2026
"Serviço de manutenção predial – pequenos reparos (pedreiro, marceneiro e afins)",MES,12,2500,30000,30000,2- Não,1/1/2026
Serviço de manutenção predial - pintura,MES,12,"8333,33",100000,100000,2- Não,1/1/2026
"Serviço de manutenção predial – calhas, rufos e pingadeiras",MES,12,"8333,33",100000,100000,2- Não,1/1/2026
Serviço de Pintura e sinalização externa do estacionamento da Câmara.,UND,12,"4166,67",50000,50000,2- Não,1/1/2026
Fornecimento de serviço de seleção e treinamentos,MES,12,45000,500000,500000,2- Não,1/1/2026
Serviço de Certificação digital.,MES,12,"416,67",5000,5000,2- Não,1/1/2026
"Serviços personalizados de confecção de placas de festividades, homenagens e afins.",MES,12,2500,30000,30000,2- Não,1/1/2026
Serviço de aplicação de gesso,MES,12,2500,30000,30000,2- Não,1/1/2026
Serviço de colocação/troca de piso dos prédios da Câmara.,UND,12,225000,2700000,2700000,2- Não,1/1/2026
Serviço de reparo e manutenção de mobiliário em geral.,MES,12,"33333,33",400000,400000,2- Não,1/1/2026
Serviço de fornecimento de licença de antivírus,UND,102,"147,06",15000,15000,1-Sim,10/1/2026
"Serviços especializados para instalação de cerca ao redor do perímetro da Câmara Municipal de Luís Eduardo Magalhães,",UND,12,"66666,67",800000,800000,2- Não,1/1/2026
Contratação de solução integrada de controle de acesso de pessoas e veículos e de registro de frequência.,MES,12,125000,1500000,1500000,2- Não,1/1/2026
"Contratação de empresa especializada para o fornecimento, instalação e manutenção de um sistema integrado de iluminação cênica para a fachada, áreas externas e eventos internos da Câmara Municipal de Luís Eduardo Magalhães",MES,12,"66666,67",800000,800000,2- Não,1/1/2026
"Serviço de Implementação, Gestão e Governança para conformidade com a Lei Geral de Proteção de Dados (Lei no 13.709/2018) e Aquisição de Solução Informatizada de Privacidade, Gestão de Riscos e Segurança da Informação.",MES,12,"41666,67",500000,500000,2- Não,1/1/2026
Serviço de publicação dos avisos de licitação em jornal de grande circulação,MES,12,12500,150000,150000,1-Sim,3/1/2026
Serviço em Publicidade/ Comunicação,MES,12,"4166,67",50000,50000,2- Não,3/1/2026
Contratação de empresa especializada para a produção de trilhas sonoras originais e vinhetas institucionais destinadas à Rádio e à TV Câmara de Luís Eduardo Magalhães.,MES,12,7500,90000,90000,1-Sim,10/1/2026
Contratação de empresa especializada na manutenção preventiva e corretiva da Torre Metálica de 75 (setenta e cinco) metros da TV e Rádio Câmara Municipal de Luís Eduardo Magalhães/BA.,MES,12,"10833,33",130000,130000,2- Não,10/1/2026
Contratação de profissional especializado para elaboração de projetos técnicos e arquitetônicos necessários a futuras intervenções na Câmara Municipal de Luís Eduardo Magalhães.,MES,12,"10833,33",130000,130000,2- Não,10/1/2026
"Renovação completa do sistema de sonorização do Plenário Arnaldo Horácio Ferreira, espaço destinado à realização de sessões plenárias, solenidades, audiências públicas e demais eventos oficiais da Câmara Municipal de Luís Eduardo Magalhães/BA.",UND,12,"4166,67",50000,50000,2- Não,01/03/2025
"Aquisição de microfones para o plenário, bem como manutenção dos aparelhos existentes.",UND,12,"8333,33",100000,100000,2- Não,1/1/2026
"Contratação de empresa visando o fornecimento dos Projetos Técnicos/Executivos, elaboração de “Estudo de viabilidade Técnico-Econômica”, Memorial Descritivo (materiais, equipamentos e serviços para instalação do sistema solar fotovoltaico).",MES,12,"10416,67",125000,125000,2- Não,01/03/2025
Execução do Projeto de Energia Solar,MES,12,"166666,67",2000000,2000000,2- Não,1/1/2026
Software de gestão da rádio e Tv Câmara,MES,12,"7083,33",85000,85000,2- Não,1/1/2026
"Serviço de coffee break e jantares para reuniões, eventos, capacitações e aniversários do mês.",MES,12,"8333,33",100000,100000,2- Não,3/1/2026
Locação de espaço e buffet para os eventos institucionais do Poder Legislativo.,UND,12,"8333,33",100000,100000,2- Não,3/1/2026
Material de Expediente diversos - Papelaria,UND,12,"14166,67",170000,170000,2- Não,6/1/2026
Arranjo Natalino,UND,12,4166,50000,50000,2- Não,3/1/2026
Aquisição de Gás de Cozinha - Botijões de GLP (gás liquefeito de petróleo) de 13kg,UND,80,"187,5",15000,15000,2- Não,1/1/2026
Aquisição de Gêneros alimentícios e materiais de copa e cozinha.,UND,12,"41666,67",500000,500000,2- Não,3/1/2026
Aquisição de Materiais de Limpeza,UND,12,"31666,67",380000,380000,2- Não,3/1/2026
Aquisição de Materiais Gráficos,UND,12,"42916,67",515000,515000,1-Sim,3/1/2026
Aquisição de Materiais de Informática,UND,12,100000,1200000,1200000,2- Não,1/1/2026
Aquisição de combustível do tipo Gasolina Aditivada e Diesel S10,UND,12,"79166,67",950000,950000,2- Não,1/1/2026
Aquisição de suprimentos para central telefônica bem como aquisição de telefones,UND,12,"4166,67",50000,50000,2- Não,3/1/2026
Aquisição de Materiais Hidráulicos,UND,12,2500,30000,30000,2- Não,3/1/2026
Aquisição de Materiais Elétricos,UND,12,2500,30000,30000,2- Não,3/1/2026
"Aquisição de móveis para escritório, como mesa, cadeiras, armários e afins.",UND,12,"41666,67",500000,500000,2- Não,3/1/2026
Aquisição de Materiais Personalizados,UND,12,12500,150000,150000,1-Sim,6/1/2026
Aquisição de Ares Condicionados,UND,12,25000,300000,300000,2- Não,1/1/2026
Aquisição de Refis de Tintas para Impressoras Epson e Recarga de Tonners de Impressoras,UND,12,"8333,33",100000,100000,2- Não,1/1/2026
Aquisição de infraestrutura para abrigar os equipamentos de transmissão da Rádio FM e TV Digital,UND,12,"103548,33",1242580,1242580,2- Não,
Aquisição de equipamentos eletrônicos para a transmissão da programação Tv Câmara Digital e da Rádio FM Câmara,UND,12,"194484,75",2333817,2333817,2- Não,01/03/2025
Aquisição de uniformes,UND,12,"8333,33",100000,100000,2- Não,1/1/2026
Aquisição de persianas,UND,12,"13333,33",160000,160000,2- Não,1/1/2026
Aquisição de dois microfones sem fio e de um kit de caixa de som com tripé e microfones com fio,UND,12,1000,12000,12000,1-Sim,01/03/2025
Aquisição de carrinhos (Almoxarifado e Patrimônio),UND,12,"416,67",5000,5000,1-Sim,01/03/2025
Aquisição de Peças para os elevadores dos Blocos A e B.,UND,12,5000,60000,60000,2- Não,1/1/2026
Aquisição de flores e arranjos,UND,12,"5.833,33",70000,70000,2- Não,1/1/2026
"Aquisição de bomba d'agua e afins para fornecimento de água de poço,",UND,12,"2083,33",25000,25000,2- Não,1/1/2026
Serviço de construção de fossas sépticas e sumidouros para os Blocos A e B.,UND,12,12500,150000,150000,2- Não,1/1/2026
