Item;Descrição;Marca;Unidade;Preco_Unitario;Quantidade;Saida;Valor_R$;Estoque_Atual
35;COLA, COR INCOLOR, APLICACAO COURO, METAL, VIDRO, CORTICA PLASTICO, MADEIRA, CARACTERISTICAS ADICIONAIS INSTANTANEA, TIPO LIQUIDO, 100G.;LEONORA;UNIDADE;5,00;65;0;325,00;65
36;COLA BRANCA PVA, PARA MADEIRA DE 1KG, CASCOLA CASCOREZ EXTRA, SIMILAR, EQUIVALENTE OU DE MELHOR QUALIDADE.;IRIS;UNIDADE;9,90;10;10;0,00;0
37;CORRETIVO FITA, 6MX5MM, APLICACAO APAGAR CANETA ESFEROGRAFICA.;JOCAR;UNIDADE;3,90;150;100;195,00;50
38;DISPLAY DE PAREDE EM ACRILICO, TIPO A4 COM FITA DUPLA FACE PARA FIXACAO;WALEU;UNIDADE;18,90;20;0;378,00;20
39;ENVELOPE BRANCO 114MM X 229MM.;VIA BRASIL;UNIDADE;0,07;130;100;2,10;30
40;ENVELOPE PARDO 240 MM X 340 MM.;VIA BRASIL;UNIDADE;0,28;65;65;0,00;0
41;ESTILETE RETRATIL, ESPESSURA 18MM, APLICACAO ESCRITORIO.;BAZZE;UNIDADE;2,40;26;26;0,00;0
42;EXTRATOR DE GRAMPO, MATERIAL ACO, TIPO ESPATULA, TRATAMENTO SUPERFICIAL CROMADO, MEDIDAS APROXIMADAS: 15X2CM;BAZZE;UNIDADE;1,80;20;20;0,00;0
43;FITA ADESIVA, MATERIAL POLIPROPILENO TRANSPARENTE, TIPO MONO FACE, COR INCOLOR, APLICACAO MULTIUSO, 50MMX50M.;KORETECH;UNIDADE;3,30;100;100;0,00;0
44;FITA ADESIVA, MATERIAL POLIPROPILENO TRANSPARENTE, TIPO MONO FACE, 12MMX50M.;KORETECH;UNIDADE;1,10;150;50;110,00;100
45;GRAMPEADOR, MATERIAL METAL, TIPO MESA, CAPACIDADE 25 FL, TAMANHO GRAMPO 26/6, CARACTERISTICAS ADICIONAIS PINTURA EPOXI.;BAZZE;UNIDADE;11,99;50;20;359,70;30
46;GRAMPEADOR, MATERIAL METAL, TIPO MESA, CAPACIDADE ATE 100 FL, TAMANHO GRAMPO 23/6, 23/8, 23/10, E 23/13;JOCAR;UNIDADE;71,00;6;0;426,00;6
47;GRAMPO GRAMPEADOR, MATERIAL METAL, TRATAMENTO SUPERFICIAL LATONADO, TAMANHO 23/13, CAIXA COM 5000 UNIDADES.;CHAPARRAU;CAIXA COM 5000 UNID;28,40;13;0;369,20;13
48;GRAMPO GRAMPEADOR, MATERIAL METAL, TRATAMENTO SUPERFICIAL NIQUELADO, TAMANHO 26/6, CAIXA COM 5000 UNIDADES.;BAZZE;CAIXA COM 5000 UNID;3,70;130;0;481,00;130
49;GRAMPO TRILHO ENCADERNADOR, MATERIAL PLASTICO, COMPRIMENTO 80 MM, TIPO LINGUETA, APLICACAO FIXACAO FOLHAS EM PROCESSOS, TIPO ESPELHO GARRA, PACOTE COM 50 UNIDADES.;DELO;PACOTE COM 50 UNID;10,90;26;0;283,40;26
50;LAPIS PRETO REDONDO, GRAFITE 2-B, CORPO SEXTAVADO CONFECCIONADO EM MADEIRA DE ALTA QUALIDADE, SEM RACHADURAS.;LEONORA;UNIDADE;0,29;260;230;8,70;30
51;LAPISEIRA, MATERIAL PLASTICO, DIAMETRO CARGA 0,5 MM, CARACTERISTICAS ADICIONAIS C/PRENDEDOR, PONTA E ACIONADOR DE METAL C/BORRACHA;LEONORA;UNIDADE;4,90;50;50;0,00;0
52;LIVRO ATA, CAPA DURA, MATERIAL PAPEL SULFITE, QUANTIDADE FOLHAS 100 FL, GRAMATURA 75 G/M2, COMPRIMENTO 297 MM, LARGURA 210 MM.;TILIBRA;UNIDADE;14,95;100;0;1.495,00;100
53;LIVRO PROTOCOLO DE CORRESPONDENCIA, CAPA DURA 100 FOLHAS.;BAHIA ARTES GRAFICA;UNIDADE;11,90;65;15;595,00;50
54;MARCADOR DE PAGINA AUTO ADESIVO TRANSPARENTE, CONTEM 8 CORES DE MARCADORES NO PACOTE COM 25 UNIDADES EM CADA COR, DIMENSOES 45MMX12MM, FACIL APLICACAO, REPOSICIONAVEIS, NAO DANIFICAM AS PAGINAS.;JOCAR;PACOTE COM 8 UNID;6,70;200;20;1.206,00;180
55;PAPEL A-4 BRANCO MATERIAL ALCALINO 75G/M2, RESMA COM 500 FOLHAS.;REPORT;RESMA COM 500 FOLHAS;26,90;650;350;8.070,00;300
